Size;DataSize;Prime;Random;Less7;
1;8;0.0236505;0.0181589;0.0175018; 
2;16;0.0284765;0.0149171;0.0446248; 
3;24;0.0290277;0.0398628;0.0653181; 
4;32;0.0248586;0.0447322;0.0636473; 
5;40;0.0437247;0.0278563;0.0823101; 
6;48;0.0634949;0.0543873;0.0734831; 
7;56;0.139148;0.140513;0.0610756; 
8;64;0.335375;0.0719242;0.0616938; 
9;72;1.7216;0.306494;0.0626713; 
10;80;2.63026;1.738;0.0782228; 
11;88;21.2786;0.659077;0.08426; 
12;96;;22.1154;0.0869915; 
13;104;;;0.0809742; 
14;112;;;0.0834261; 
15;120;;;0.0862562; 
